sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
荷物を整理したいのですが。,짐을 정리하고 싶습니다.,"[""荷物を"", ""整理したい"", ""のです"", ""が。""]","[""<ruby>荷物<rp>(</rp><rt>にもつ</rt><rp>)</rp></ruby>を"", ""<ruby>整理<rp>(</rp><rt>せいり</rt><rp>)</rp></ruby>したい"", ""のです"", ""が。""]",<ruby>荷物<rp>(</rp><rt>にもつ</rt><rp>)</rp></ruby>を<ruby>整理<rp>(</rp><rt>せいり</rt><rp>)</rp></ruby>したいのですが。,N3
彼らはいすを集めて整然と列に並べた。,그들은 의자를 모아 질서정연하게 줄을 세웠다.,"[""彼らは"", ""いすを"", ""集めて"", ""整然と"", ""列に"", ""並べた。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは"", ""いすを"", ""<ruby>集<rp>(</rp><rt>あつ</rt><rp>)</rp></ruby>めて"", ""<ruby>整然<rp>(</rp><rt>せいぜん</rt><rp>)</rp></ruby>と"", ""<ruby>列<rp>(</rp><rt>れつ</rt><rp>)</rp></ruby>に"", ""<ruby>並<rp>(</rp><rt>なら</rt><rp>)</rp></ruby>べた。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らはいすを<ruby>集<rp>(</rp><rt>あつ</rt><rp>)</rp></ruby>めて<ruby>整然<rp>(</rp><rt>せいぜん</rt><rp>)</rp></ruby>と<ruby>列<rp>(</rp><rt>れつ</rt><rp>)</rp></ruby>に<ruby>並<rp>(</rp><rt>なら</rt><rp>)</rp></ruby>べた。,N1
彼は道路を横断した。,그는 길을 건넜다.,"[""彼は"", ""道路を"", ""横断した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>道路<rp>(</rp><rt>どうろ</rt><rp>)</rp></ruby>を"", ""<ruby>横断<rp>(</rp><rt>おうだん</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>道路<rp>(</rp><rt>どうろ</rt><rp>)</rp></ruby>を<ruby>横断<rp>(</rp><rt>おうだん</rt><rp>)</rp></ruby>した。,N3
彼は公金を横領した。,그는 공금을 횡령했다.,"[""彼は"", ""公金を"", ""横領した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>公金<rp>(</rp><rt>こうきん</rt><rp>)</rp></ruby>を"", ""<ruby>横領<rp>(</rp><rt>おうりょう</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>公金<rp>(</rp><rt>こうきん</rt><rp>)</rp></ruby>を<ruby>横領<rp>(</rp><rt>おうりょう</rt><rp>)</rp></ruby>した。,etc
品の良い横顔が、さみしそうだった。,품위 있는 옆모습이 쓸쓸해 보였다.,"[""品の良い"", ""横顔が"", ""さみしそうだった。""]","[""<ruby>品<rp>(</rp><rt>しな</rt><rp>)</rp></ruby>の<ruby>良<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>い"", ""<ruby>横顔<rp>(</rp><rt>よこがお</rt><rp>)</rp></ruby>が"", ""さみしそうだった。""]",<ruby>品<rp>(</rp><rt>しな</rt><rp>)</rp></ruby>の<ruby>良<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>い<ruby>横顔<rp>(</rp><rt>よこがお</rt><rp>)</rp></ruby>が、さみしそうだった。,etc
会議は深夜まで続いた。,회의는 자정까지 이어졌다.,"[""会議"", ""は"", ""深夜"", ""まで"", ""続いた""]","[""<ruby>会議<rp>(</rp><rt>かいぎ</rt><rp>)</rp></ruby>"", ""は"", ""<ruby>深夜<rp>(</rp><rt>しんや</rt><rp>)</rp></ruby>"", ""まで"", ""<ruby>続<rp>(</rp><rt>つづ</rt><rp>)</rp></ruby>いた""]",<ruby>会議<rp>(</rp><rt>かいぎ</rt><rp>)</rp></ruby>は<ruby>深夜<rp>(</rp><rt>しんや</rt><rp>)</rp></ruby>まで<ruby>続<rp>(</rp><rt>つづ</rt><rp>)</rp></ruby>いた。,N3
流れの静かな川は水が深い。,흐르는 강물은 깊고 고요한 강물은 깊다.,"[""流れの"", ""静かな"", ""川は"", ""水が"", ""深い。""]","[""<ruby>流<rp>(</rp><rt>なが</rt><rp>)</rp></ruby>れの"", ""<ruby>静<rp>(</rp><rt>しず</rt><rp>)</rp></ruby>かな"", ""<ruby>川<rp>(</rp><rt>かわ</rt><rp>)</rp></ruby>は"", ""<ruby>水<rp>(</rp><rt>みず</rt><rp>)</rp></ruby>が"", ""<ruby>深<rp>(</rp><rt>ふか</rt><rp>)</rp></ruby>い。""]",<ruby>流<rp>(</rp><rt>なが</rt><rp>)</rp></ruby>れの<ruby>静<rp>(</rp><rt>しず</rt><rp>)</rp></ruby>かな<ruby>川<rp>(</rp><rt>かわ</rt><rp>)</rp></ruby>は<ruby>水<rp>(</rp><rt>みず</rt><rp>)</rp></ruby>が<ruby>深<rp>(</rp><rt>ふか</rt><rp>)</rp></ruby>い。,etc
深海は、真っ暗です。,심해는 칠흑같이 어둡다.,"[""深海は"", ""真っ暗です""]","[""<ruby>深海<rp>(</rp><rt>しんかい</rt><rp>)</rp></ruby>は"", ""<ruby>真<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>っ<ruby>暗<rp>(</rp><rt>くら</rt><rp>)</rp></ruby>です""]",<ruby>深海<rp>(</rp><rt>しんかい</rt><rp>)</rp></ruby>は、<ruby>真<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>っ<ruby>暗<rp>(</rp><rt>くら</rt><rp>)</rp></ruby>です。,etc
申告する物はありますか。,신고할 것이 있나요?,"[""申告する"", ""物は"", ""ありますか""]","[""<ruby>申告<rp>(</rp><rt>しんこく</rt><rp>)</rp></ruby>する"", ""<ruby>物<rp>(</rp><rt>もの</rt><rp>)</rp></ruby>は"", ""ありますか""]",<ruby>申告<rp>(</rp><rt>しんこく</rt><rp>)</rp></ruby>する<ruby>物<rp>(</rp><rt>もの</rt><rp>)</rp></ruby>はありますか。,N2
彼らは自分たちの古い生活様式を捨てたくなかった。,그들은 자신들의 옛 생활방식을 버리고 싶지 않았다.,"[""彼らは"", ""自分たちの"", ""古い"", ""生活様式を"", ""捨てたく"", ""なかった。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは"", ""<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>たちの"", ""<ruby>古<rp>(</rp><rt>ふる</rt><rp>)</rp></ruby>い"", ""<ruby>生活<rp>(</rp><rt>せいかつ</rt><rp>)</rp></ruby><ruby>様式<rp>(</rp><rt>ようしき</rt><rp>)</rp></ruby>を"", ""<ruby>捨<rp>(</rp><rt>す</rt><rp>)</rp></ruby>てたく"", ""なかった。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>たちの<ruby>古<rp>(</rp><rt>ふる</rt><rp>)</rp></ruby>い<ruby>生活<rp>(</rp><rt>せいかつ</rt><rp>)</rp></ruby><ruby>様式<rp>(</rp><rt>ようしき</rt><rp>)</rp></ruby>を<ruby>捨<rp>(</rp><rt>す</rt><rp>)</rp></ruby>てたくなかった。,N1
様子を見て来て。,가서 보고 오세요.,"[""様子を"", ""見て"", ""来て。""]","[""<ruby>様子<rp>(</rp><rt>ようす</rt><rp>)</rp></ruby>を"", ""<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>て"", ""<ruby>来<rp>(</rp><rt>き</rt><rp>)</rp></ruby>て。""]",<ruby>様子<rp>(</rp><rt>ようす</rt><rp>)</rp></ruby>を<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>て<ruby>来<rp>(</rp><rt>き</rt><rp>)</rp></ruby>て。,N2
雨模様だ。,비가 올 것 같다.,"[""雨模様"", ""だ。""]","[""<ruby>雨<rp>(</rp><rt>あめ</rt><rp>)</rp></ruby><ruby>模様<rp>(</rp><rt>もよう</rt><rp>)</rp></ruby>"", ""だ。""]",<ruby>雨<rp>(</rp><rt>あめ</rt><rp>)</rp></ruby><ruby>模様<rp>(</rp><rt>もよう</rt><rp>)</rp></ruby>だ。,N3
空港まで行く。,공항까지 간다.,"[""空港"", ""まで"", ""行く。""]","[""<ruby>空港<rp>(</rp><rt>くうこう</rt><rp>)</rp></ruby>"", ""まで"", ""<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>く。""]",<ruby>空港<rp>(</rp><rt>くうこう</rt><rp>)</rp></ruby>まで<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>く。,N4
巨大なタンカーがついに今し方出港した。,거대한 유조선이 드디어 출항했다.,"[""巨大な"", ""タンカーが"", ""ついに"", ""今し方"", ""出港した""]","[""<ruby>巨大<rp>(</rp><rt>きょだい</rt><rp>)</rp></ruby>な"", ""タンカーが"", ""ついに"", ""<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>し<ruby>方<rp>(</rp><rt>がた</rt><rp>)</rp></ruby>"", ""<ruby>出港<rp>(</rp><rt>しゅっこう</rt><rp>)</rp></ruby>した""]",<ruby>巨大<rp>(</rp><rt>きょだい</rt><rp>)</rp></ruby>なタンカーがついに<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>し<ruby>方<rp>(</rp><rt>がた</rt><rp>)</rp></ruby><ruby>出港<rp>(</rp><rt>しゅっこう</rt><rp>)</rp></ruby>した。,etc
港に行く。,항구로 간다.,"[""港に"", ""行く。""]","[""<ruby>港<rp>(</rp><rt>みなと</rt><rp>)</rp></ruby>に"", ""<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>く。""]",<ruby>港<rp>(</rp><rt>みなと</rt><rp>)</rp></ruby>に<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>く。,N4
彼は水泳の達人だ。,그는 수영의 달인이다.,"[""彼は"", ""水泳の"", ""達人だ。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>水泳<rp>(</rp><rt>すいえい</rt><rp>)</rp></ruby>の"", ""<ruby>達人<rp>(</rp><rt>たつじん</rt><rp>)</rp></ruby>だ。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>水泳<rp>(</rp><rt>すいえい</rt><rp>)</rp></ruby>の<ruby>達人<rp>(</rp><rt>たつじん</rt><rp>)</rp></ruby>だ。,etc
彼は目的を達成した。,그는 목적을 달성했다.,"[""彼は"", ""目的を"", ""達成した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>目的<rp>(</rp><rt>もくてき</rt><rp>)</rp></ruby>を"", ""<ruby>達成<rp>(</rp><rt>たっせい</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>目的<rp>(</rp><rt>もくてき</rt><rp>)</rp></ruby>を<ruby>達成<rp>(</rp><rt>たっせい</rt><rp>)</rp></ruby>した。,N1
君の英語は上達したね。,영어 실력이 많이 늘었구나.,"[""君の"", ""英語は"", ""上達した"", ""ね""]","[""<ruby>君<rp>(</rp><rt>きみ</rt><rp>)</rp></ruby>の"", ""<ruby>英語<rp>(</rp><rt>えいご</rt><rp>)</rp></ruby>は"", ""<ruby>上達<rp>(</rp><rt>じょうたつ</rt><rp>)</rp></ruby>した"", ""ね""]",<ruby>君<rp>(</rp><rt>きみ</rt><rp>)</rp></ruby>の<ruby>英語<rp>(</rp><rt>えいご</rt><rp>)</rp></ruby>は<ruby>上達<rp>(</rp><rt>じょうたつ</rt><rp>)</rp></ruby>したね。,N2
意思伝達は色々な形をとる。,의사전달은 다양한 형태로 이루어진다.,"[""意思伝達は"", ""色々な形を"", ""とる。""]","[""<ruby>意思<rp>(</rp><rt>いし</rt><rp>)</rp></ruby><ruby>伝達<rp>(</rp><rt>でんたつ</rt><rp>)</rp></ruby>は"", ""<ruby>色々<rp>(</rp><rt>いろいろ</rt><rp>)</rp></ruby>な<ruby>形<rp>(</rp><rt>かたち</rt><rp>)</rp></ruby>を"", ""とる。""]",<ruby>意思<rp>(</rp><rt>いし</rt><rp>)</rp></ruby><ruby>伝達<rp>(</rp><rt>でんたつ</rt><rp>)</rp></ruby>は<ruby>色々<rp>(</rp><rt>いろいろ</rt><rp>)</rp></ruby>な<ruby>形<rp>(</rp><rt>かたち</rt><rp>)</rp></ruby>をとる。,N1
今は気分良好だよ。,지금은 기분이 좋다.,"[""今は"", ""気分"", ""良好だよ。""]","[""<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>は"", ""<ruby>気分<rp>(</rp><rt>きぶん</rt><rp>)</rp></ruby>"", ""<ruby>良好<rp>(</rp><rt>りょうこう</rt><rp>)</rp></ruby>だよ。""]",<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>は<ruby>気分<rp>(</rp><rt>きぶん</rt><rp>)</rp></ruby><ruby>良好<rp>(</rp><rt>りょうこう</rt><rp>)</rp></ruby>だよ。,N1
良心が彼を苦しめた。,양심이 그를 괴롭혔다.,"[""良心が"", ""彼を"", ""苦しめた。""]","[""<ruby>良心<rp>(</rp><rt>りょうしん</rt><rp>)</rp></ruby>が"", ""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>を"", ""<ruby>苦<rp>(</rp><rt>くる</rt><rp>)</rp></ruby>しめた。""]",<ruby>良心<rp>(</rp><rt>りょうしん</rt><rp>)</rp></ruby>が<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>を<ruby>苦<rp>(</rp><rt>くる</rt><rp>)</rp></ruby>しめた。,N1
気が付くと、手先や肱のあたりに毛を生じているらしい。少し明るくなってから、谷川に臨んで姿を映して見ると、既に虎となっていた。,어느새 손과 팔꿈치 부근에 털이 돋아난 것 같았다. 조금 밝아진 후 계곡물에 비친 모습을 보니 이미 호랑이가 되어 있었다.,"[""気が付くと"", ""手先や肱のあたりに"", ""毛を生じているらしい"", ""少し明るくなってから"", ""谷川に臨んで"", ""姿を映して見ると"", ""既に虎となっていた""]","[""<ruby>気<rp>(</rp><rt>き</rt><rp>)</rp></ruby>が<ruby>付<rp>(</rp><rt>つ</rt><rp>)</rp></ruby>くと"", ""<ruby>手先<rp>(</rp><rt>てさき</rt><rp>)</rp></ruby>や<ruby>肱<rp>(</rp><rt>ひじ</rt><rp>)</rp></ruby>のあたりに"", ""<ruby>毛<rp>(</rp><rt>け</rt><rp>)</rp></ruby>を<ruby>生<rp>(</rp><rt>しょう</rt><rp>)</rp></ruby>じているらしい"", ""<ruby>少<rp>(</rp><rt>すこ</rt><rp>)</rp></ruby>し<ruby>明<rp>(</rp><rt>あか</rt><rp>)</rp></ruby>るくなってから"", ""<ruby>谷川<rp>(</rp><rt>たにがわ</rt><rp>)</rp></ruby>に<ruby>臨<rp>(</rp><rt>のぞ</rt><rp>)</rp></ruby>んで"", ""<ruby>姿<rp>(</rp><rt>すがた</rt><rp>)</rp></ruby>を<ruby>映<rp>(</rp><rt>うつ</rt><rp>)</rp></ruby>して<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>ると"", ""<ruby>既<rp>(</rp><rt>すで</rt><rp>)</rp></ruby>に<ruby>虎<rp>(</rp><rt>とら</rt><rp>)</rp></ruby>となっていた""]",<ruby>気<rp>(</rp><rt>き</rt><rp>)</rp></ruby>が<ruby>付<rp>(</rp><rt>つ</rt><rp>)</rp></ruby>くと、<ruby>手先<rp>(</rp><rt>てさき</rt><rp>)</rp></ruby>や<ruby>肱<rp>(</rp><rt>ひじ</rt><rp>)</rp></ruby>のあたりに<ruby>毛<rp>(</rp><rt>け</rt><rp>)</rp></ruby>を<ruby>生<rp>(</rp><rt>しょう</rt><rp>)</rp></ruby>じているらしい。<ruby>少<rp>(</rp><rt>すこ</rt><rp>)</rp></ruby>し<ruby>明<rp>(</rp><rt>あか</rt><rp>)</rp></ruby>るくなってから、<ruby>谷川<rp>(</rp><rt>たにがわ</rt><rp>)</rp></ruby>に<ruby>臨<rp>(</rp><rt>のぞ</rt><rp>)</rp></ruby>んで<ruby>姿<rp>(</rp><rt>すがた</rt><rp>)</rp></ruby>を<ruby>映<rp>(</rp><rt>うつ</rt><rp>)</rp></ruby>して<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>ると、<ruby>既<rp>(</rp><rt>すで</rt><rp>)</rp></ruby>に<ruby>虎<rp>(</rp><rt>とら</rt><rp>)</rp></ruby>となっていた。,etc
気候が変わります。,기후가 바뀝니다.,"[""気候が"", ""変わります。""]","[""<ruby>気候<rp>(</rp><rt>きこう</rt><rp>)</rp></ruby>が"", ""<ruby>変<rp>(</rp><rt>か</rt><rp>)</rp></ruby>わります。""]",<ruby>気候<rp>(</rp><rt>きこう</rt><rp>)</rp></ruby>が<ruby>変<rp>(</rp><rt>か</rt><rp>)</rp></ruby>わります。,N2
これは悪い兆候だ。,이것은 나쁜 징조다.,"[""これは"", ""悪い"", ""兆候"", ""だ。""]","[""これは"", ""<ruby>悪<rp>(</rp><rt>わる</rt><rp>)</rp></ruby>い"", ""<ruby>兆候<rp>(</rp><rt>ちょうこう</rt><rp>)</rp></ruby>"", ""だ。""]",これは<ruby>悪<rp>(</rp><rt>わる</rt><rp>)</rp></ruby>い<ruby>兆候<rp>(</rp><rt>ちょうこう</rt><rp>)</rp></ruby>だ。,etc
歴史は繰り返す。,역사는 반복된다.,"[""歴史は"", ""繰り返す。""]","[""<ruby>歴史<rp>(</rp><rt>れきし</rt><rp>)</rp></ruby>は"", ""<ruby>繰<rp>(</rp><rt>く</rt><rp>)</rp></ruby>り<ruby>返<rp>(</rp><rt>かえ</rt><rp>)</rp></ruby>す。""]",<ruby>歴史<rp>(</rp><rt>れきし</rt><rp>)</rp></ruby>は<ruby>繰<rp>(</rp><rt>く</rt><rp>)</rp></ruby>り<ruby>返<rp>(</rp><rt>かえ</rt><rp>)</rp></ruby>す。,N4
世界史のコースを取ってるんだ。,세계사 과정을 수강하고 있어요.,"[""世界史の"", ""コースを"", ""取ってるんだ。""]","[""<ruby>世界<rp>(</rp><rt>せかい</rt><rp>)</rp></ruby><ruby>史<rp>(</rp><rt>し</rt><rp>)</rp></ruby>の"", ""コースを"", ""<ruby>取<rp>(</rp><rt>と</rt><rp>)</rp></ruby>ってるんだ。""]",<ruby>世界<rp>(</rp><rt>せかい</rt><rp>)</rp></ruby><ruby>史<rp>(</rp><rt>し</rt><rp>)</rp></ruby>のコースを<ruby>取<rp>(</rp><rt>と</rt><rp>)</rp></ruby>ってるんだ。,etc
彼は中流階級の出だ。,그는 중산층 출신이다.,"[""彼は"", ""中流階級の"", ""出だ。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>中流<rp>(</rp><rt>ちゅうりゅう</rt><rp>)</rp></ruby><ruby>階級<rp>(</rp><rt>かいきゅう</rt><rp>)</rp></ruby>の"", ""<ruby>出<rp>(</rp><rt>しゅつ</rt><rp>)</rp></ruby>だ。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>中流<rp>(</rp><rt>ちゅうりゅう</rt><rp>)</rp></ruby><ruby>階級<rp>(</rp><rt>かいきゅう</rt><rp>)</rp></ruby>の<ruby>出<rp>(</rp><rt>しゅつ</rt><rp>)</rp></ruby>だ。,N1
満足です。,만족합니다.,"[""満足"", ""です。""]","[""<ruby>満足<rp>(</rp><rt>まんぞく</rt><rp>)</rp></ruby>"", ""です。""]",<ruby>満足<rp>(</rp><rt>まんぞく</rt><rp>)</rp></ruby>です。,N3
部屋には煙が充満していた。,방 안에는 연기가 가득했다.,"[""部屋には"", ""煙が"", ""充満していた。""]","[""<ruby>部屋<rp>(</rp><rt>へや</rt><rp>)</rp></ruby>には"", ""<ruby>煙<rp>(</rp><rt>けむり</rt><rp>)</rp></ruby>が"", ""<ruby>充満<rp>(</rp><rt>じゅうまん</rt><rp>)</rp></ruby>していた。""]",<ruby>部屋<rp>(</rp><rt>へや</rt><rp>)</rp></ruby>には<ruby>煙<rp>(</rp><rt>けむり</rt><rp>)</rp></ruby>が<ruby>充満<rp>(</rp><rt>じゅうまん</rt><rp>)</rp></ruby>していた。,N1
満点の星空だったよ。,별이 가득한 밤하늘이었어요.,"[""満点の"", ""星空だった"", ""よ。""]","[""<ruby>満点<rp>(</rp><rt>まんてん</rt><rp>)</rp></ruby>の"", ""<ruby>星空<rp>(</rp><rt>ほしぞら</rt><rp>)</rp></ruby>だった"", ""よ。""]",<ruby>満点<rp>(</rp><rt>まんてん</rt><rp>)</rp></ruby>の<ruby>星空<rp>(</rp><rt>ほしぞら</rt><rp>)</rp></ruby>だったよ。,N3
今夜は満月だ。,오늘 밤은 보름달이다.,"[""今夜は"", ""満月だ""]","[""<ruby>今夜<rp>(</rp><rt>こんや</rt><rp>)</rp></ruby>は"", ""<ruby>満月<rp>(</rp><rt>まんげつ</rt><rp>)</rp></ruby>だ""]",<ruby>今夜<rp>(</rp><rt>こんや</rt><rp>)</rp></ruby>は<ruby>満月<rp>(</rp><rt>まんげつ</rt><rp>)</rp></ruby>だ。,N1
彼は自分の敗北を認めようとしない。,그는 자신의 패배를 인정하지 않으려 한다.,"[""彼は"", ""自分の"", ""敗北を"", ""認めようとしない。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>の"", ""<ruby>敗北<rp>(</rp><rt>はいぼく</rt><rp>)</rp></ruby>を"", ""<ruby>認<rp>(</rp><rt>みと</rt><rp>)</rp></ruby>めようとしない。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>自分<rp>(</rp><rt>じぶん</rt><rp>)</rp></ruby>の<ruby>敗北<rp>(</rp><rt>はいぼく</rt><rp>)</rp></ruby>を<ruby>認<rp>(</rp><rt>みと</rt><rp>)</rp></ruby>めようとしない。,N1
日本は敗戦後ソ連と平和条約を締結し損ねました。,일본은 패전 후 소련과 평화조약을 체결하지 못했다.,"[""日本は"", ""敗戦後"", ""ソ連と"", ""平和条約を"", ""締結し"", ""損ねました。""]","[""<ruby>日本<rp>(</rp><rt>にっぽん</rt><rp>)</rp></ruby>は"", ""<ruby>敗戦<rp>(</rp><rt>はいせん</rt><rp>)</rp></ruby><ruby>後<rp>(</rp><rt>ご</rt><rp>)</rp></ruby>"", ""ソ<ruby>連<rp>(</rp><rt>れん</rt><rp>)</rp></ruby>と"", ""<ruby>平和<rp>(</rp><rt>へいわ</rt><rp>)</rp></ruby><ruby>条約<rp>(</rp><rt>じょうやく</rt><rp>)</rp></ruby>を"", ""<ruby>締結<rp>(</rp><rt>ていけつ</rt><rp>)</rp></ruby>し"", ""<ruby>損<rp>(</rp><rt>そこ</rt><rp>)</rp></ruby>ねました。""]",<ruby>日本<rp>(</rp><rt>にっぽん</rt><rp>)</rp></ruby>は<ruby>敗戦<rp>(</rp><rt>はいせん</rt><rp>)</rp></ruby><ruby>後<rp>(</rp><rt>ご</rt><rp>)</rp></ruby>ソ<ruby>連<rp>(</rp><rt>れん</rt><rp>)</rp></ruby>と<ruby>平和<rp>(</rp><rt>へいわ</rt><rp>)</rp></ruby><ruby>条約<rp>(</rp><rt>じょうやく</rt><rp>)</rp></ruby>を<ruby>締結<rp>(</rp><rt>ていけつ</rt><rp>)</rp></ruby>し<ruby>損<rp>(</rp><rt>そこ</rt><rp>)</rp></ruby>ねました。,N1
私は管理者だ。,나는 관리자다.,"[""私"", ""は"", ""管理者"", ""だ。""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>"", ""は"", ""<ruby>管理<rp>(</rp><rt>かんり</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby>"", ""だ。""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は<ruby>管理<rp>(</rp><rt>かんり</rt><rp>)</rp></ruby><ruby>者<rp>(</rp><rt>しゃ</rt><rp>)</rp></ruby>だ。,N2
管理人に聞いてみて。,관리인에게 물어보세요.,"[""管理人に"", ""聞いて"", ""みて。""]","[""<ruby>管理<rp>(</rp><rt>かんり</rt><rp>)</rp></ruby><ruby>人<rp>(</rp><rt>じん</rt><rp>)</rp></ruby>に"", ""<ruby>聞<rp>(</rp><rt>き</rt><rp>)</rp></ruby>いて"", ""みて。""]",<ruby>管理<rp>(</rp><rt>かんり</rt><rp>)</rp></ruby><ruby>人<rp>(</rp><rt>じん</rt><rp>)</rp></ruby>に<ruby>聞<rp>(</rp><rt>き</rt><rp>)</rp></ruby>いてみて。,etc
兵士になったことある？,군인이 되어본 적 있나요?,"[""兵士に"", ""なった"", ""ことある？""]","[""<ruby>兵士<rp>(</rp><rt>へいし</rt><rp>)</rp></ruby>に"", ""なった"", ""ことある？""]",<ruby>兵士<rp>(</rp><rt>へいし</rt><rp>)</rp></ruby>になったことある？,N1
食器洗い当番です。,설거지 당번입니다.,"[""食器洗い"", ""当番"", ""です""]","[""<ruby>食器洗<rp>(</rp><rt>しょっきあら</rt><rp>)</rp></ruby>い"", ""<ruby>当番<rp>(</rp><rt>とうばん</rt><rp>)</rp></ruby>"", ""です""]",<ruby>食器洗<rp>(</rp><rt>しょっきあら</rt><rp>)</rp></ruby>い<ruby>当番<rp>(</rp><rt>とうばん</rt><rp>)</rp></ruby>です。,N3
楽器は弾ける？,악기를 연주할 수 있나요?,"[""楽器は"", ""弾ける？""]","[""<ruby>楽器<rp>(</rp><rt>がっき</rt><rp>)</rp></ruby>は"", ""<ruby>弾<rp>(</rp><rt>はじ</rt><rp>)</rp></ruby>ける？""]",<ruby>楽器<rp>(</rp><rt>がっき</rt><rp>)</rp></ruby>は<ruby>弾<rp>(</rp><rt>はじ</rt><rp>)</rp></ruby>ける？,N3
